relerr,RequestedTol,bp_0,bp_1,bp_2,bp_3,bp_4,maxvalue,minvalue,avgvalue,maxerror
0.9,13.59,12,11,8,7,5,7.064016,-7.989162,-0.013225,0.8010521
0.8,12.08,12,11,8,7,5,7.064016,-7.989162,-0.013225,0.8010521
0.7,10.57,12,11,8,7,5,7.064016,-7.989162,-0.013225,0.8010521
0.6,9.06,14,14,8,7,5,7.064016,-7.989162,-0.013225,0.8071828
0.5,7.55,14,14,9,8,5,7.064016,-7.989162,-0.013225,0.70679253
0.4,6.04,15,15,11,10,5,7.064016,-7.989162,-0.013225,0.722178
0.3,4.53,15,15,11,10,6,7.064016,-7.989162,-0.013225,0.3733685
0.2,3.02,16,16,12,11,6,7.064016,-7.989162,-0.013225,0.37253356
0.1,1.51,16,16,12,11,8,7.064016,-7.989162,-0.013225,0.09665632
0.09,1.359,16,16,12,11,8,7.064016,-7.989162,-0.013225,0.09665632
0.08,1.208,16,16,12,11,8,7.064016,-7.989162,-0.013225,0.09665632
0.07,1.057,16,16,12,11,8,7.064016,-7.989162,-0.013225,0.09665632
0.06,0.906,17,16,13,11,8,7.064016,-7.989162,-0.013225,0.097139835
0.05,0.755,18,18,14,13,8,7.064016,-7.989162,-0.013225,0.096498966
0.04,0.604,18,18,14,13,9,7.064016,-7.989162,-0.013225,0.049707085
0.03,0.453,18,18,14,13,9,7.064016,-7.989162,-0.013225,0.049707085
0.02,0.302,19,19,15,13,10,7.064016,-7.989162,-0.013225,0.024619997
0.01,0.151,20,20,16,14,11,7.064016,-7.989162,-0.013225,0.012840505
0.009,0.1359,20,20,16,14,11,7.064016,-7.989162,-0.013225,0.012840505
0.008,0.1208,20,20,16,14,11,7.064016,-7.989162,-0.013225,0.012840505
0.007,0.1057,20,20,16,15,11,7.064016,-7.989162,-0.013225,0.01218429
0.006,0.0906,22,22,18,17,11,7.064016,-7.989162,-0.013225,0.011992604
0.005,0.0755,22,22,18,17,12,7.064016,-7.989162,-0.013225,0.005840465
0.004,0.0604,22,22,18,17,12,7.064016,-7.989162,-0.013225,0.005840465
0.003,0.0453,23,23,19,18,12,7.064016,-7.989162,-0.013225,0.005657479
0.002,0.0302,23,23,19,18,13,7.064016,-7.989162,-0.013225,0.002961636
0.001,0.0151,23,23,19,18,14,7.064016,-7.989162,-0.013225,0.001561821
0.0009,0.01359,23,23,19,18,14,7.064016,-7.989162,-0.013225,0.001561821
0.0008,0.01208,24,24,20,19,14,7.064016,-7.989162,-0.013225,0.001617819
0.0007,0.01057,24,24,20,19,15,7.064016,-7.989162,-0.013225,0.000803173
0.0006,0.00906,24,24,20,19,15,7.064016,-7.989162,-0.013225,0.000803173
0.0005,0.00755,24,24,20,19,15,7.064016,-7.989162,-0.013225,0.000803173
0.0004,0.00604,25,25,21,20,15,7.064016,-7.989162,-0.013225,0.000772193
0.0003,0.00453,25,25,21,20,16,7.064016,-7.989162,-0.013225,0.000396803
0.0002,0.00302,26,26,22,21,16,7.064016,-7.989162,-0.013225,0.000374019
0.0001,0.00151,27,27,23,21,18,7.064016,-7.989162,-0.013225,9.64E-05
9.00E-05,0.001359,27,27,23,21,18,7.064016,-7.989162,-0.013225,9.64E-05
8.00E-05,0.001208,27,27,23,21,18,7.064016,-7.989162,-0.013225,9.64E-05
7.00E-05,0.001057,27,27,23,21,18,7.064016,-7.989162,-0.013225,9.64E-05
6.00E-05,0.000906,27,27,23,21,18,7.064016,-7.989162,-0.013225,9.64E-05
5.00E-05,0.000755,28,28,24,23,18,7.064016,-7.989162,-0.013225,9.13E-05
4.00E-05,0.000604,28,28,24,23,19,7.064016,-7.989162,-0.013225,4.59E-05
3.00E-05,0.000453,28,28,24,23,19,7.064016,-7.989162,-0.013225,4.59E-05
2.00E-05,0.000302,29,29,25,23,20,7.064016,-7.989162,-0.013225,2.40E-05
1.00E-05,0.000151,30,30,26,24,21,7.064016,-7.989162,-0.013225,1.22E-05
9.00E-06,0.0001359,30,30,26,24,21,7.064016,-7.989162,-0.013225,1.22E-05
8.00E-06,0.0001208,30,30,26,24,21,7.064016,-7.989162,-0.013225,1.22E-05
7.00E-06,0.0001057,30,30,26,25,21,7.064016,-7.989162,-0.013225,1.19E-05
6.00E-06,9.06E-05,32,32,28,27,21,7.064016,-7.989162,-0.013225,1.14E-05
5.00E-06,7.55E-05,32,32,28,27,22,7.064016,-7.989162,-0.013225,7.63E-06
4.00E-06,6.04E-05,32,32,28,27,22,7.064016,-7.989162,-0.013225,7.63E-06
3.00E-06,4.53E-05,32,32,30,27,22,7.064016,-7.989162,-0.013225,7.63E-06
2.00E-06,3.02E-05,32,32,30,27,23,7.064016,-7.989162,-0.013225,4.77E-06
1.00E-06,1.51E-05,32,32,30,27,24,7.064016,-7.989162,-0.013225,4.77E-06
9.00E-07,1.36E-05,32,32,30,27,24,7.064016,-7.989162,-0.013225,4.77E-06
8.00E-07,1.21E-05,32,32,30,29,24,7.064016,-7.989162,-0.013225,4.77E-06
7.00E-07,1.06E-05,32,32,30,29,25,7.064016,-7.989162,-0.013225,4.29E-06
6.00E-07,9.06E-06,32,32,30,29,25,7.064016,-7.989162,-0.013225,4.29E-06
5.00E-07,7.55E-06,32,32,30,29,25,7.064016,-7.989162,-0.013225,4.29E-06
4.00E-07,6.04E-06,32,32,32,29,25,7.064016,-7.989162,-0.013225,4.29E-06
3.00E-07,4.53E-06,32,32,32,29,26,7.064016,-7.989162,-0.013225,4.29E-06
2.00E-07,3.02E-06,32,32,32,31,26,7.064016,-7.989162,-0.013225,4.29E-06
1.00E-07,1.51E-06,32,32,32,31,28,7.064016,-7.989162,-0.013225,4.29E-06
9.00E-08,1.36E-06,32,32,32,31,28,7.064016,-7.989162,-0.013225,4.29E-06
8.00E-08,1.21E-06,32,32,32,31,28,7.064016,-7.989162,-0.013225,4.29E-06
7.00E-08,1.06E-06,32,32,32,31,28,7.064016,-7.989162,-0.013225,4.29E-06
6.00E-08,9.06E-07,32,32,32,31,28,7.064016,-7.989162,-0.013225,4.29E-06
5.00E-08,7.55E-07,32,32,32,32,28,7.064016,-7.989162,-0.013225,4.29E-06
4.00E-08,6.04E-07,32,32,32,32,29,7.064016,-7.989162,-0.013225,4.29E-06
3.00E-08,4.53E-07,32,32,32,32,29,7.064016,-7.989162,-0.013225,4.29E-06
2.00E-08,3.02E-07,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
1.00E-08,1.51E-07,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
9.00E-09,1.36E-07,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
8.00E-09,1.21E-07,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
7.00E-09,1.06E-07,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
6.00E-09,9.06E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
5.00E-09,7.55E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
4.00E-09,6.04E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
3.00E-09,4.53E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
2.00E-09,3.02E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
1.00E-09,1.51E-08,32,32,32,32,32,7.064016,-7.989162,-0.013225,4.29E-06
0.9,13.59,11,11,8,7,4,6.74256,-6.648087,0.003546,0.81699187
0.8,12.08,11,11,8,7,4,6.74256,-6.648087,0.003546,0.81699187
0.7,10.57,11,11,8,7,4,6.74256,-6.648087,0.003546,0.81699187
0.6,9.06,13,13,8,7,4,6.74256,-6.648087,0.003546,0.81777364
0.5,7.55,13,13,9,8,4,6.74256,-6.648087,0.003546,0.76327956
0.4,6.04,14,14,11,10,4,6.74256,-6.648087,0.003546,0.7669543
0.3,4.53,14,14,11,10,5,6.74256,-6.648087,0.003546,0.37840676
0.2,3.02,15,15,12,11,5,6.74256,-6.648087,0.003546,0.3757876
0.1,1.51,16,15,13,11,7,6.74256,-6.648087,0.003546,0.09712756
0.09,1.359,16,15,13,11,7,6.74256,-6.648087,0.003546,0.09712756
0.08,1.208,16,15,13,11,7,6.74256,-6.648087,0.003546,0.09712756
0.07,1.057,16,15,13,11,7,6.74256,-6.648087,0.003546,0.09712756
0.06,0.906,16,15,13,11,7,6.74256,-6.648087,0.003546,0.09712756
0.05,0.755,17,17,14,13,7,6.74256,-6.648087,0.003546,0.09940207
0.04,0.604,17,17,14,13,8,6.74256,-6.648087,0.003546,0.04719536
0.03,0.453,17,17,14,13,8,6.74256,-6.648087,0.003546,0.04719536
0.02,0.302,18,18,15,13,9,6.74256,-6.648087,0.003546,0.024862766
0.01,0.151,19,19,16,14,10,6.74256,-6.648087,0.003546,0.013010502
0.009,0.1359,19,19,16,14,10,6.74256,-6.648087,0.003546,0.013010502
0.008,0.1208,19,19,16,14,10,6.74256,-6.648087,0.003546,0.013010502
0.007,0.1057,19,19,16,15,10,6.74256,-6.648087,0.003546,0.013569653
0.006,0.0906,21,21,18,17,10,6.74256,-6.648087,0.003546,0.013285935
