relerr,RequestedTol,bp_0,bp_1,bp_2,bp_3,bp_4,maxvalue,minvalue,avgvalue,maxerror
0.9,5256000000,7,7,6,5,4,2922251300,-2922251300,-0.00814,286968700
0.8,4672000000,9,9,6,5,4,2922251300,-2922251300,-0.00814,293248200
0.7,4088000000,9,9,7,5,4,2922251300,-2922251300,-0.00814,246678200
0.6,3504000000,10,9,8,5,4,2922251300,-2922251300,-0.00814,243667580
0.5,2920000000,10,9,8,6,4,2922251300,-2922251300,-0.00814,211377220
0.4,2336000000,13,12,11,6,4,2922251300,-2922251300,-0.00814,209637440
0.3,1752000000,13,13,11,8,4,2922251300,-2922251300,-0.00814,189462340
0.2,1168000000,13,13,11,8,5,2922251300,-2922251300,-0.00814,105846340
0.1,584000000,14,14,12,8,7,2922251300,-2922251300,-0.00814,33366796
0.09,525600000,14,14,12,8,7,2922251300,-2922251300,-0.00814,33366796
0.08,467200000,14,14,12,8,7,2922251300,-2922251300,-0.00814,33366796
0.07,408800000,14,14,12,8,7,2922251300,-2922251300,-0.00814,33366796
0.06,350400000,14,14,12,9,7,2922251300,-2922251300,-0.00814,28634848
0.05,292000000,16,15,14,9,7,2922251300,-2922251300,-0.00814,28231616
0.04,233600000,16,16,14,11,7,2922251300,-2922251300,-0.00814,26544320
0.03,175200000,16,16,14,11,8,2922251300,-2922251300,-0.00814,13391024
0.02,116800000,20,19,18,11,8,2922251300,-2922251300,-0.00814,13444592
0.01,58400000,20,19,18,13,9,2922251300,-2922251300,-0.00814,6412376
0.009,52560000,21,21,19,13,9,2922251300,-2922251300,-0.00814,6420880
0.008,46720000,24,24,22,19,9,2922251300,-2922251300,-0.00814,6462484
0.007,40880000,24,24,22,19,10,2922251300,-2922251300,-0.00814,3096570
0.006,35040000,24,24,22,19,10,2922251300,-2922251300,-0.00814,3096570
0.005,29200000,24,24,22,19,10,2922251300,-2922251300,-0.00814,3096570
0.004,23360000,27,26,25,19,10,2922251300,-2922251300,-0.00814,3096647.5
0.003,17520000,27,26,25,19,11,2922251300,-2922251300,-0.00814,1689530.4
0.002,11680000,27,26,25,21,11,2922251300,-2922251300,-0.00814,1691166.1
0.001,5840000,27,26,25,21,13,2922251300,-2922251300,-0.00814,411832
0.0009,5256000,27,26,25,21,13,2922251300,-2922251300,-0.00814,411832
0.0008,4672000,27,26,25,21,13,2922251300,-2922251300,-0.00814,411832
0.0007,4088000,27,26,25,21,13,2922251300,-2922251300,-0.00814,411832
0.0006,3504000,27,26,25,21,13,2922251300,-2922251300,-0.00814,411832
0.0005,2920000,28,28,26,23,13,2922251300,-2922251300,-0.00814,412616
0.0004,2336000,28,28,26,23,14,2922251300,-2922251300,-0.00814,191672
0.0003,1752000,28,28,26,23,14,2922251300,-2922251300,-0.00814,191672
0.0002,1168000,28,28,26,23,15,2922251300,-2922251300,-0.00814,91712
0.0001,584000,28,28,26,23,16,2922251300,-2922251300,-0.00814,50913.5
9.00E-05,525600,28,28,26,23,16,2922251300,-2922251300,-0.00814,50913.5
8.00E-05,467200,28,28,26,23,16,2922251300,-2922251300,-0.00814,50913.5
7.00E-05,408800,28,28,26,23,16,2922251300,-2922251300,-0.00814,50913.5
6.00E-05,350400,28,28,26,23,17,2922251300,-2922251300,-0.00814,24678
5.00E-05,292000,28,28,26,23,17,2922251300,-2922251300,-0.00814,24678
4.00E-05,233600,28,28,26,23,17,2922251300,-2922251300,-0.00814,24678
3.00E-05,175200,28,28,26,23,18,2922251300,-2922251300,-0.00814,12206
2.00E-05,116800,28,28,26,23,18,2922251300,-2922251300,-0.00814,12206
1.00E-05,58400,28,28,26,23,19,2922251300,-2922251300,-0.00814,6322
9.00E-06,52560,32,32,26,23,19,2922251300,-2922251300,-0.00814,6318
8.00E-06,46720,32,32,29,26,19,2922251300,-2922251300,-0.00814,6232
7.00E-06,40880,32,32,29,26,20,2922251300,-2922251300,-0.00814,3080.125
6.00E-06,35040,32,32,29,26,20,2922251300,-2922251300,-0.00814,3080.125
5.00E-06,29200,32,32,29,26,20,2922251300,-2922251300,-0.00814,3080.125
4.00E-06,23360,32,32,30,27,20,2922251300,-2922251300,-0.00814,3090.25
3.00E-06,17520,32,32,30,27,21,2922251300,-2922251300,-0.00814,1792
2.00E-06,11680,32,32,31,28,21,2922251300,-2922251300,-0.00814,1792
1.00E-06,5840,32,32,31,28,23,2922251300,-2922251300,-0.00814,1024
9.00E-07,5256,32,32,31,28,23,2922251300,-2922251300,-0.00814,1024
8.00E-07,4672,32,32,31,28,23,2922251300,-2922251300,-0.00814,1024
7.00E-07,4088,32,32,31,28,23,2922251300,-2922251300,-0.00814,1024
6.00E-07,3504,32,32,31,28,23,2922251300,-2922251300,-0.00814,1024
5.00E-07,2920,32,32,32,31,23,2922251300,-2922251300,-0.00814,1024
4.00E-07,2336,32,32,32,31,24,2922251300,-2922251300,-0.00814,1024
3.00E-07,1752,32,32,32,31,24,2922251300,-2922251300,-0.00814,1024
2.00E-07,1168,32,32,32,31,25,2922251300,-2922251300,-0.00814,1024
1.00E-07,584,32,32,32,31,26,2922251300,-2922251300,-0.00814,1024
9.00E-08,525.6,32,32,32,31,26,2922251300,-2922251300,-0.00814,1024
8.00E-08,467.2,32,32,32,31,26,2922251300,-2922251300,-0.00814,1024
7.00E-08,408.8,32,32,32,31,26,2922251300,-2922251300,-0.00814,1024
6.00E-08,350.4,32,32,32,31,27,2922251300,-2922251300,-0.00814,1024
5.00E-08,292,32,32,32,31,27,2922251300,-2922251300,-0.00814,1024
4.00E-08,233.6,32,32,32,31,27,2922251300,-2922251300,-0.00814,1024
3.00E-08,175.2,32,32,32,31,28,2922251300,-2922251300,-0.00814,1024
2.00E-08,116.8,32,32,32,31,28,2922251300,-2922251300,-0.00814,1024
1.00E-08,58.4,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
9.00E-09,52.56,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
8.00E-09,46.72,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
7.00E-09,40.88,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
6.00E-09,35.04,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
5.00E-09,29.2,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
4.00E-09,23.36,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
3.00E-09,17.52,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
2.00E-09,11.68,32,32,32,32,31,2922251300,-2922251300,-0.00814,1024
1.00E-09,5.84,32,32,32,32,32,2922251300,-2922251300,-0.00814,1024
0.9,5256000000,8,6,4,0,0,175891710,-175891710,0.020534,105891300
0.8,4672000000,10,8,6,0,0,175891710,-175891710,0.020534,101813570
0.7,4088000000,10,8,6,2,0,175891710,-175891710,0.020534,181643680
0.6,3504000000,10,8,6,2,0,175891710,-175891710,0.020534,181643680
0.5,2920000000,10,8,6,2,0,175891710,-175891710,0.020534,181643680
0.4,2336000000,10,8,6,3,0,175891710,-175891710,0.020534,108451610
0.3,1752000000,10,8,6,4,0,175891710,-175891710,0.020534,57488080
0.2,1168000000,15,12,10,7,0,175891710,-175891710,0.020534,36206110
0.1,584000000,15,12,10,7,2,175891710,-175891710,0.020534,50786224
0.09,525600000,15,12,10,7,2,175891710,-175891710,0.020534,50786224
0.08,467200000,15,12,10,7,2,175891710,-175891710,0.020534,50786224
0.07,408800000,15,13,10,8,2,175891710,-175891710,0.020534,49642404
0.06,350400000,15,13,10,8,3,175891710,-175891710,0.020534,27871320
0.05,292000000,15,13,10,8,3,175891710,-175891710,0.020534,27871320
0.04,233600000,15,13,10,8,3,175891710,-175891710,0.020534,27871320
0.03,175200000,15,13,10,8,4,175891710,-175891710,0.020534,13605880
0.02,116800000,19,16,14,8,4,175891710,-175891710,0.020534,13527696
0.01,58400000,19,16,14,10,5,175891710,-175891710,0.020534,6391776
0.009,52560000,20,18,15,10,5,175891710,-175891710,0.020534,6386720
0.008,46720000,23,21,18,16,5,175891710,-175891710,0.020534,6275270.5
0.007,40880000,23,21,18,16,6,175891710,-175891710,0.020534,3293176
0.006,35040000,23,21,18,16,6,175891710,-175891710,0.020534,3293176
0.005,29200000,23,21,18,16,6,175891710,-175891710,0.020534,3293176
0.004,23360000,26,23,21,16,6,175891710,-175891710,0.020534,3293032
0.003,17520000,26,23,21,16,7,175891710,-175891710,0.020534,1549248.5
0.002,11680000,26,23,21,18,7,175891710,-175891710,0.020534,1553816.5
0.001,5840000,26,23,21,18,9,175891710,-175891710,0.020534,409738.5
0.0009,5256000,26,23,21,18,9,175891710,-175891710,0.020534,409738.5
0.0008,4672000,26,23,21,18,9,175891710,-175891710,0.020534,409738.5
0.0007,4088000,26,23,21,18,9,175891710,-175891710,0.020534,409738.5
0.0006,3504000,26,23,21,18,9,175891710,-175891710,0.020534,409738.5
